,slope,intercept,r2,p_value,std_err,cause,country
0,-131.4054766248955,272289.47301360563,0.9550930677094744,3.9116988082526166e-23,5.037004332074131,Cardiovascular diseases,Algeria
1,-63.43417146529873,132644.429493248,0.9070463721964971,4.551133116436834e-18,3.589770707034372,Cardiovascular diseases,Bolivia
2,14.091154637848238,-22754.424669034204,0.2348296592382844,0.003680200781407782,4.496495692162119,Cardiovascular diseases,Burundi
3,-38.32485664473421,83948.72319991203,0.5703414896336758,2.4474409488693914e-07,5.880303965716161,Cardiovascular diseases,Central African Rep.
4,-14.444055890637662,37407.89887047485,0.25611290652044133,0.002260984246671205,4.351629884115204,Cardiovascular diseases,Chad
5,-47.170811240394556,108858.50257024927,0.3698170456788824,0.00013607936817009984,10.885245281439925,Cardiovascular diseases,Egypt
6,-20.674139540422303,46551.3344168152,0.8268971777062706,9.942068813369266e-14,1.6721636316693036,Cardiovascular diseases,Honduras
7,-51.11849113742488,110104.44413174702,0.6620786593724158,4.900754924067335e-09,6.455888961080852,Cardiovascular diseases,Madagascar
8,-39.07677735646608,84635.37892733258,0.6160128801603808,3.913795771267289e-08,5.4539001592113,Cardiovascular diseases,Malawi
9,-169.72916940406307,353505.5335563987,0.9855351831520041,5.1755483302547385e-31,3.6349789463844715,Cardiovascular diseases,Morocco
10,8.824346899318545,-13332.98812255817,0.6386061123022143,1.4590917771607722e-08,1.1734955564236802,Cardiovascular diseases,Mozambique
11,-7.648596560255398,19507.96435755999,0.0839508318884812,0.09648208079465079,4.466359276089483,Cardiovascular diseases,Nicaragua
12,-31.83954462220811,71012.69740099825,0.5996884339607054,7.712835446545568e-08,4.598626008651613,Cardiovascular diseases,Niger
13,-6.251434884178813,19022.173937119653,0.12415362872268768,0.04097516715838513,2.9352086692085235,Cardiovascular diseases,Pakistan
14,2.0319462109889606,3485.2627252424604,0.012271736563770532,0.5328220971404223,3.222574355681808,Cardiovascular diseases,Philippines
15,3.8816067650687827,-1043.5799332351726,0.008828647225387025,0.5971106707364549,7.270492584340733,Cardiovascular diseases,Sierra Leone
16,-93.2590301478763,193169.0585658857,0.9202198645573936,3.9196050726419554e-19,4.854198012842166,Cardiovascular diseases,Sri Lanka
17,-84.71657754028735,174713.43795035718,0.985110074000331,8.228450842416343e-31,1.841184468919555,Cardiovascular diseases,Tunisia
18,-26.21639186521857,57489.426345235544,0.7479207236152472,4.260196068758149e-11,2.690535452918566,Cardiovascular diseases,Uganda
19,-172.84450882345521,359416.28754043253,0.7371577341529757,8.372745283699092e-11,18.24517299687887,Cardiovascular diseases,Ukraine
20,6.7195802699797405,-8028.035864086361,0.019534382225943586,0.4304841182574921,8.415569304087361,Cardiovascular diseases,Zimbabwe
21,-106.21200685082071,216101.236843319,0.9360106800809717,1.1407304450444116e-20,4.909214076374948,Cardiovascular diseases,Australia
22,-121.28509920310582,247392.285454826,0.9404549557478932,3.597728566224642e-21,5.394935665816401,Cardiovascular diseases,Austria
23,-109.32907265397044,226472.12628246233,0.9876609173950365,4.0647633522082775e-32,2.160220965433155,Cardiovascular diseases,Bosnia and Herz.
24,-55.42083117423418,115320.40063582765,0.6357223649569792,1.660383311289628e-08,7.416184995806339,Cardiovascular diseases,Botswana
25,-117.68721370161064,241200.87277597561,0.9809005927138167,4.428228844773345e-29,2.9030314326245694,Cardiovascular diseases,Brazil
26,-79.92336788613714,163437.71411024476,0.9249198008997607,1.4801173551304489e-19,4.025403839111988,Cardiovascular diseases,Canada
27,-95.15369451085081,194860.70276699445,0.9199612310525286,4.1284743373240126e-19,4.961535502459964,Cardiovascular diseases,Colombia
28,-67.45317176793732,140151.4933400495,0.838107494576018,3.384662021699329e-14,5.240719271905414,Cardiovascular diseases,Cuba
29,-126.37141444796633,257925.49452346598,0.958960215086009,9.242906624757327e-24,4.621427033472299,Cardiovascular diseases,Finland
30,-17.432150511687592,40222.3730873608,0.6143120811008188,4.205867490505409e-08,2.4417402793136844,Cardiovascular diseases,Gabon
31,-110.42797582886669,225591.1878385481,0.9432330700626989,1.6727233290002002e-21,4.788972207230456,Cardiovascular diseases,Germany
32,-55.28687384020808,113264.40553996114,0.9235519313107733,1.9772197683126683e-19,2.8118985209236396,Cardiovascular diseases,Japan
33,-256.98551619733,527617.1753502154,0.5772964473854962,1.874673313657974e-07,38.87336752352639,Cardiovascular diseases,Kazakhstan
34,-26.897182203373035,59450.192064710114,0.34106696866027225,0.0002877362473751097,6.608952103172416,Cardiovascular diseases,South Africa
35,-88.06959851321676,180788.31128443277,0.8963337898898903,2.6210035016853494e-17,5.2946194877524295,Cardiovascular diseases,Thailand
36,-107.16803443209277,218097.5799018616,0.9587672534009201,9.964250186851584e-24,3.9287537863759785,Cardiovascular diseases,Netherlands
37,-102.82353194615126,209841.43107773928,0.9802124468929904,7.804203536001584e-29,2.582578128452704,Cardiovascular diseases,Sweden
38,-84.28722842035735,171747.3726420093,0.9518498194554286,1.1956698472179963e-22,3.351209112049617,Cardiovascular diseases,Switzerland
39,-75.09128884118175,154870.7395965555,0.9305115303122703,4.2782556806391545e-20,3.627522071566238,Cardiovascular diseases,United States of America
40,-3.7489446803278885,8426.86096200828,0.8403738271278489,2.6977809536051977e-14,0.2888350106868356,Chronic respiratory diseases,Algeria
41,-15.626447249227436,32558.929656030235,0.9726911131262738,1.3567232491726845e-26,0.4628601441389251,Chronic respiratory diseases,Bolivia
42,-1.1017038785694615,3298.5767359427678,0.1380642954996652,0.030487196538975678,0.48661627979308186,Chronic respiratory diseases,Burundi
43,-9.504740071239805,21203.64816402873,0.7961172564777234,1.3878935429266722e-12,0.8502898033751503,Chronic respiratory diseases,Central African Rep.
44,-6.448791200096141,14325.096408665173,0.6653283572168174,4.189293133733138e-09,0.8085274463111726,Chronic respiratory diseases,Chad
45,-27.532537762827264,56547.70966669933,0.9193459258587547,4.668101054134887e-19,1.4416005242271983,Chronic respiratory diseases,Egypt
46,-5.364849745791208,12684.476651847277,0.2564824094103471,0.002241738861850211,1.614728108814277,Chronic respiratory diseases,Honduras
47,-2.981959882666643,7052.199568537011,0.6932731999235101,1.0187304082010123e-09,0.3506311235016812,Chronic respiratory diseases,Madagascar
48,-5.1228411239339255,11289.252590471116,0.8029457529544614,8.015282351256957e-13,0.4486272971711057,Chronic respiratory diseases,Malawi
49,-4.993232841711497,10910.389779767014,0.8896894920166408,7.106457231627405e-17,0.3108107567946593,Chronic respiratory diseases,Morocco
50,1.5187093492866761,-2231.9087702746533,0.5002658637702397,2.912163607318958e-06,0.2683297036364852,Chronic respiratory diseases,Mozambique
51,1.5036036708273777,-1976.4875060241982,0.335847405056096,0.0003286262476817001,0.3737845329991998,Chronic respiratory diseases,Nicaragua
52,-5.889044154907717,13213.784827541702,0.45317559020626536,1.2855980421522926e-05,1.1435641007630606,Chronic respiratory diseases,Niger
53,-11.45267303102272,25478.5261163551,0.6522431942467768,7.809106460781011e-09,1.4783079544460143,Chronic respiratory diseases,Pakistan
54,-11.315836534528309,24309.756196663053,0.6974144545696365,8.17358525992865e-10,1.3176203471825263,Chronic respiratory diseases,Philippines
55,3.3216253388525003,-5548.339229736994,0.5482418238965615,5.559012602843398e-07,0.5330188703567702,Chronic respiratory diseases,Sierra Leone
56,-30.859618059086767,63722.12319703233,0.9255626009757802,1.2894578847338845e-19,1.5470639042546097,Chronic respiratory diseases,Sri Lanka
57,-13.569716437402207,28354.502901135376,0.9239434934091096,1.8209011911238703e-19,0.6882421464750486,Chronic respiratory diseases,Tunisia
58,-3.6232685385056573,8290.762897767641,0.6064575822665554,5.841036149216481e-08,0.5159660106981009,Chronic respiratory diseases,Uganda
59,-15.173888929007289,31189.712673720704,0.7817057684264478,4.174709012381572e-12,1.4174945018523595,Chronic respiratory diseases,Ukraine
60,1.426946098116775,-1572.5542637645526,0.056279103075918074,0.17671912450654037,1.032953523194247,Chronic respiratory diseases,Zimbabwe
61,-10.117936351835537,21413.26579979765,0.8972398308175558,2.2764798196721956e-17,0.60530615056858,Chronic respiratory diseases,Australia
62,-0.6101365214374095,1937.806877706373,0.10684491134881607,0.05917620350696276,0.31184483077019226,Chronic respiratory diseases,Austria
63,-16.319755143053506,33678.62584666272,0.9650425436278328,7.077422187993955e-25,0.5490796291363016,Chronic respiratory diseases,Bosnia and Herz.
64,-24.313898402180595,50495.66179625235,0.9270738371529574,9.280041632899045e-20,1.2054914303262865,Chronic respiratory diseases,Botswana
65,-16.223323609259996,33756.24680938528,0.8176112481840798,2.3060094856889377e-13,1.3545356474120698,Chronic respiratory diseases,Brazil
66,0.144981824232248,712.1560457094547,0.005223261735502402,0.6846070333064165,0.3536962758570221,Chronic respiratory diseases,Canada
67,-13.448935169349951,28060.288432719375,0.9448095912468546,1.0650626183921777e-21,0.5746091925352192,Chronic respiratory diseases,Colombia
68,4.072867161718194,-7153.969768986067,0.4442727288836614,1.6793744115527534e-05,0.8052510196596203,Chronic respiratory diseases,Cuba
69,0.5785897524769231,-450.3937855472111,0.12147633341589949,0.04337174358143541,0.27505949646645367,Chronic respiratory diseases,Finland
70,-8.091578043200268,17661.770296602543,0.8796199564382124,2.8904478769104997e-16,0.5291611470834334,Chronic respiratory diseases,Gabon
71,-2.066805107747568,4902.298491031967,0.18667032386838744,0.010720397667781692,0.7626410990948769,Chronic respiratory diseases,Germany
72,-6.318152571698113,13252.522231735016,0.8980980522449868,1.989721941705818e-17,0.37622225769876516,Chronic respiratory diseases,Japan
73,10.498187675079498,-19234.44817981906,0.09425309069488753,0.07737692021770085,5.7530079402349745,Chronic respiratory diseases,Kazakhstan
74,-13.577056893914255,28848.96067526783,0.6531070459444,7.499901694063265e-09,1.7491868491440667,Chronic respiratory diseases,South Africa
75,-31.517840356481518,64413.53793111927,0.9231113500507877,2.168120948897512e-19,1.6079981121539175,Chronic respiratory diseases,Thailand
76,-4.015936242409314,9014.920955792186,0.8357059921478105,4.289586443753743e-14,0.3147718772174389,Chronic respiratory diseases,Netherlands
77,1.5658027278951614,-2388.9486411682087,0.3672788749812672,0.00014555354769457885,0.363304057990508,Chronic respiratory diseases,Sweden
78,-5.580556142166733,11892.656322723575,0.9311920987447346,3.653649883768482e-20,0.2681649459613284,Chronic respiratory diseases,Switzerland
79,1.501083406270291,-1661.6939059086917,0.06518672597998526,0.1450240939630483,1.004876490143756,Chronic respiratory diseases,United States of America
80,-0.10230392098502132,213.14946814602644,0.4435376027345259,1.7165321810262458e-05,0.020256759819059042,Environmental heat and cold exposure,Algeria
81,-0.28820544333191694,594.4297200675068,0.7092468910342348,4.2841784196139175e-10,0.03262050297667331,Environmental heat and cold exposure,Bolivia
82,-0.7329210564143311,1510.5672535968306,0.9737068092661804,7.394468779899823e-27,0.021290690765479413,Environmental heat and cold exposure,Burundi
83,-0.4090678285554506,872.4098912246318,0.8565883320306352,4.817524471586344e-15,0.029588742104894126,Environmental heat and cold exposure,Central African Rep.
84,-0.3321840906211748,707.6507813783556,0.4782273364888932,5.9270775443974705e-06,0.06133767383770374,Environmental heat and cold exposure,Chad
85,-0.19783608050364462,405.4958402268155,0.7065418852403449,4.977142558641294e-10,0.022538998533769002,Environmental heat and cold exposure,Egypt
86,-0.08470967576931444,175.28744310754104,0.9394971814818431,4.64639017560872e-21,0.003800126841808033,Environmental heat and cold exposure,Honduras
87,-0.6456554881635672,1338.233154324156,0.9775339114816192,5.957350222682295e-28,0.017303090308042793,Environmental heat and cold exposure,Madagascar
88,-0.6310892358834513,1293.7463927224721,0.9924036441332292,1.7266950017917957e-35,0.009760549299647725,Environmental heat and cold exposure,Malawi
89,-0.14363291995720015,297.71133683574465,0.9637518585792663,1.264977467503167e-24,0.004924240523417734,Environmental heat and cold exposure,Morocco
90,-0.5165633667771754,1058.8244831811244,0.987929613486082,2.857541841756409e-32,0.010093602591027734,Environmental heat and cold exposure,Mozambique
91,-0.15433095435596544,319.24552699642675,0.9715885681437082,2.5571056331862693e-26,0.004665341241828464,Environmental heat and cold exposure,Nicaragua
92,-0.37074528046884986,792.5058499908838,0.4935271227047523,3.630175911354248e-06,0.06639314264417784,Environmental heat and cold exposure,Niger
93,-0.1691328404054792,353.5904233412052,0.04848675817872078,0.21080303021448699,0.13244903470034414,Environmental heat and cold exposure,Pakistan
94,-0.21633225396691266,444.05856692106215,0.9695808935957928,7.631747985730862e-26,0.006773723853960667,Environmental heat and cold exposure,Philippines
95,-0.3824542636721814,792.8211752246618,0.9806671293791451,5.379004750599235e-29,0.009492746442023463,Environmental heat and cold exposure,Sierra Leone
96,-2.5002778236640095,5058.284761608865,0.8512689345028472,8.652882122697477e-15,0.18474841956244517,Environmental heat and cold exposure,Sri Lanka
97,-0.4325725050209757,883.4036826945992,0.9446774019785266,1.1066924596241817e-21,0.018505185486371686,Environmental heat and cold exposure,Tunisia
98,-0.9091852040368367,1854.2680869134317,0.9712508173564004,3.0898521740720993e-26,0.027651864662204338,Environmental heat and cold exposure,Uganda
99,-8.39818983646384,17116.94175567285,0.7864034498362834,2.9393469957674685e-12,0.7737222930670216,Environmental heat and cold exposure,Ukraine
100,0.1826165364817766,-336.59864495713043,0.11797587797201026,0.04671749284954471,0.08826910737407043,Environmental heat and cold exposure,Zimbabwe
101,-0.12884962521862997,274.6000579822777,0.47315917731870794,6.951420907104752e-06,0.02403500662232888,Environmental heat and cold exposure,Australia
102,1.1058125271179085,-2199.497076506271,0.13324646101476628,0.03377737129900793,0.49857039493784894,Environmental heat and cold exposure,Austria
103,-0.2362688967416397,498.53207894464913,0.7590897748837659,2.0489950195069938e-11,0.023529495214067282,Environmental heat and cold exposure,Bosnia and Herz.
104,-1.343526352622784,2740.2361785054995,0.9371669345788284,8.515765532316773e-21,0.06149741282711566,Environmental heat and cold exposure,Botswana
105,-0.08258606097511657,170.1640666277541,0.8975991705957611,2.1519941481677124e-17,0.00493108261987624,Environmental heat and cold exposure,Brazil
106,0.06043243185188081,-101.2450849829178,0.059910859504896066,0.16296535504064966,0.04231816471949237,Environmental heat and cold exposure,Canada
107,-0.062464935137589224,129.85847649541728,0.9441408242728421,1.2918556738767791e-21,0.0026859020904904593,Environmental heat and cold exposure,Colombia
108,0.012292687298664536,-20.459341501981285,0.09264130811638822,0.08008734228757208,0.006800784409259642,Environmental heat and cold exposure,Cuba
109,0.0823720769214026,-125.62824800949988,0.001840554027870941,0.8096237577179517,0.33910227433985185,Environmental heat and cold exposure,Finland
110,-0.5540267090737913,1133.696806858652,0.9881208067642605,2.213122187858024e-32,0.010738513422211677,Environmental heat and cold exposure,Gabon
111,0.8058871682169517,-1602.628928235996,0.06481582272784886,0.1462127585526943,0.5411370972441633,Environmental heat and cold exposure,Germany
112,0.35832252414954624,-687.86285636273,0.7372843625480272,8.307779533036227e-11,0.03781155778635522,Environmental heat and cold exposure,Japan
113,-15.746857284828366,31956.87282452602,0.9604888988437145,5.031629829179975e-24,0.5645888462120708,Environmental heat and cold exposure,Kazakhstan
114,-0.8203322811997898,1697.21705911172,0.948409694223812,3.6130343024504086e-22,0.033822123540747547,Environmental heat and cold exposure,South Africa
115,-0.008243064185455434,20.7655820469464,0.02426323461451669,0.3790319510025192,0.009240717174009379,Environmental heat and cold exposure,Thailand
116,1.352874986779959,-2696.8521222211593,0.3884446885765075,8.241305991766321e-05,0.3000792429730756,Environmental heat and cold exposure,Netherlands
117,-0.12954674227063742,278.31722226240004,0.12185318876169414,0.043026130037316125,0.06147755995572923,Environmental heat and cold exposure,Sweden
118,0.7572562594992178,-1507.593162096512,0.14223924936292728,0.027893537068589092,0.32873143976693436,Environmental heat and cold exposure,Switzerland
119,0.09788544775058075,-175.30218187787696,0.12669258306635744,0.03882445482847698,0.04543087709587152,Environmental heat and cold exposure,United States of America
